action,sample,imgPath,vidPath,dataset,one_person,face_visible,gender,age,race
ALS_IceBucket_Challenge,000,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_000.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_000.png,default,yes,visible,male,adult,black
ALS_IceBucket_Challenge,001,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_001.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_001.png,default,yes,visible,male,adult,east-asian
ALS_IceBucket_Challenge,002,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_002.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_002.png,default,yes,visible,female,adult,unknown
ALS_IceBucket_Challenge,003,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_003.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_003.png,default,yes,not-visible,female,adult,white
ALS_IceBucket_Challenge,004,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_004.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_004.png,default,yes,not-visible,male,adult,middle-eastern
ALS_IceBucket_Challenge,005,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_005.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_005.png,default,yes,visible,male,adult,southeast-asian
ALS_IceBucket_Challenge,006,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_006.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_006.png,default,yes,not-visible,female,adult,white
ALS_IceBucket_Challenge,007,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_007.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_007.png,default,yes,visible,male,adult,white
ALS_IceBucket_Challenge,008,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_008.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_008.png,default,yes,visible,female,adult,white
ALS_IceBucket_Challenge,009,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_009.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_009.png,default,yes,visible,male,adult,white
ALS_IceBucket_Challenge,010,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_010.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_010.png,default,yes,visible,female,adult,white
ALS_IceBucket_Challenge,011,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_011.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_011.png,default,yes,not-visible,male,child,white
ALS_IceBucket_Challenge,012,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_012.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_012.png,default,yes,not-visible,male,adult,white
ALS_IceBucket_Challenge,013,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_013.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_013.png,default,yes,visible,male,adult,white
ALS_IceBucket_Challenge,014,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_014.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_014.png,default,yes,visible,female,adult,white
ALS_IceBucket_Challenge,015,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_015.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_015.png,default,yes,not-visible,male,adult,white
ALS_IceBucket_Challenge,016,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_016.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_016.png,default,yes,visible,male,adult,white
ALS_IceBucket_Challenge,017,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_017.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_017.png,default,yes,visible,male,adult,white
ALS_IceBucket_Challenge,018,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_018.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_018.png,default,no,not-visible,female,adult,white
ALS_IceBucket_Challenge,019,/images/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_019.png,/video/ALS_IceBucket_Challenge/ALS_IceBucket_Challenge_019.png,default,yes,visible,female,adult,white
CPR,000,/images/CPR/CPR_000.png,/video/CPR/CPR_000.png,default,no,not-visible,female,adult,east-asian
CPR,001,/images/CPR/CPR_001.png,/video/CPR/CPR_001.png,default,yes,not-visible,female,adult,white
CPR,002,/images/CPR/CPR_002.png,/video/CPR/CPR_002.png,default,yes,visible,male,adult,white
CPR,003,/images/CPR/CPR_003.png,/video/CPR/CPR_003.png,default,no,not-visible,male,adult,white
CPR,004,/images/CPR/CPR_004.png,/video/CPR/CPR_004.png,default,yes,visible,male,adult,black
CPR,005,/images/CPR/CPR_005.png,/video/CPR/CPR_005.png,default,no,visible,male,adult,white
CPR,006,/images/CPR/CPR_006.png,/video/CPR/CPR_006.png,default,yes,visible,female,adult,white
