action,sample,imgPath,vidPath,dataset,response,one_person,face_visible,gender,age,race
ALS_IceBucket_Challenge,0,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_000.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_000.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
ALS_IceBucket_Challenge,1,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_001.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_001.jpg,default,1. Number of People: yes (Options: yes / no) 2. Face Visibility: visible (Options: visible / not visible) 3. Gender: male (Options: male / female / other) 4. Age Group: adult (Options: child / teenager / adult / middle-aged / senior) 5. Race/Ethnicity: White (Options: White / Black / Indian / East Asian / Southeast Asian / Middle Eastern / Latino),yes,visible,male,adult,white
ALS_IceBucket_Challenge,2,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_002.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_002.jpg,default,1. Number of People: yes (Options: yes / no) 2. Face Visibility: visible (Options: visible / not visible) 3. Gender: female (Options: male / female / other) 4. Age Group: adult (Options: child / teenager / adult / middle-aged / senior) 5. Race/Ethnicity: White (Options: White / Black / Indian / East Asian / Southeast Asian / Middle Eastern / Latino),yes,visible,female,adult,white
ALS_IceBucket_Challenge,3,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_003.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_003.jpg,default,1. Number of People: yes (Options: yes / no) 2. Face Visibility: not visible (Options: visible / not visible) 3. Gender: female (Options: male / female / other) 4. Age Group: adult (Options: child / teenager / adult / middle-aged / senior) 5. Race/Ethnicity: White (Options: White / Black / Indian / East Asian / Southeast Asian / Middle Eastern / Latino),yes,not visible,female,adult,white
ALS_IceBucket_Challenge,4,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_004.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_004.jpg,default,1. Number of People: yes (Options: yes / no) 2. Face Visibility: not visible (Options: visible / not visible) 3. Gender: female (Options: male / female / other) 4. Age Group: teenager (Options: child / teenager / adult / middle-aged / senior) 5. Race/Ethnicity: Indian (Options: White / Black / Indian / East Asian / Southeast Asian / Middle Eastern / Latino),yes,not visible,female,teenager,indian
ALS_IceBucket_Challenge,5,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_005.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_005.jpg,default,1. Number of People: yes (Options: yes / no) 2. Face Visibility: visible (Options: visible / not visible) 3. Gender: male (Options: male / female / other) 4. Age Group: teenager (Options: child / teenager / adult / middle-aged / senior) 5. Race/Ethnicity: White (Options: White / Black / Indian / East Asian / Southeast Asian / Middle Eastern / Latino),yes,visible,male,teenager,white
ALS_IceBucket_Challenge,6,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_006.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_006.jpg,default,1. Number of People: yes / no 2. Face Visibility: visible / not visible 3. Gender: female / other 4. Age Group: teenager / middle-aged / senior 5. Race/Ethnicity: White / Indian / Southeast Asian / Middle Eastern / Latino,ERROR,ERROR,ERROR,ERROR,ERROR
ALS_IceBucket_Challenge,7,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_007.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_007.jpg,default,1. Number of People: yes (Options: yes / no) 2. Face Visibility: visible (Options: visible / not visible) 3. Gender: male (Options: male / female / other) 4. Age Group: adult (Options: child / teenager / adult / middle-aged / senior) 5. Race/Ethnicity: White (Options: White / Black / Indian / East Asian / Southeast Asian / Middle Eastern / Latino),yes,visible,male,adult,white
ALS_IceBucket_Challenge,8,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_008.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_008.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
ALS_IceBucket_Challenge,9,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_009.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_009.jpg,default,1. Number of People: yes (Options: yes / no) 2. Face Visibility: visible (Options: visible / not visible) 3. Gender: male (Options: male / female / other) 4. Age Group: adult (Options: child / teenager / adult / middle-aged / senior) 5. Race/Ethnicity: White (Options: White / Black / Indian / East Asian / Southeast Asian / Middle Eastern / Latino),yes,visible,male,adult,white
ALS_IceBucket_Challenge,10,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_010.jpg,video\ALS_IceBucket_Challenge\ALS_IceBucket_Challenge_010.jpg,default,1. Number of People: yes (Options: yes / no) 2. Face Visibility: not visible (Options: visible / not visible) 3. Gender: female (Options: male / female / other) 4. Age Group: adult (Options: child / teenager / adult / middle-aged / senior) 5. Race/Ethnicity: White (Options: White / Black / Indian / East Asian / Southeast Asian / Middle Eastern / Latino),yes,not visible,female,adult,white
